label,n_pairs,n_winner_longer,pct_winner_longer,median_diff,ci_low,ci_high,wilcoxon_stat,p_value,p_bonferroni,rank_biserial_r,effect_level,cohen_d,hedges_g,significant
数学+代码,928,529,57.0,97.5,52.5,148.0,254259.0,1.05723e-06,1.3744e-05,0.4101,中,0.1442,0.1441,True
指令+数学+代码,591,343,58.04,139.0,60.0,229.0,103051.5,4.52851e-05,0.000588707,0.4069,中,0.1175,0.1173,True
创意+指令+代码,113,61,53.98,47.0,-64.0,209.0,3832.5,0.0397763,0.517091,0.405,中,0.1849,0.1837,False
仅数学,3663,2135,58.29,56.0,45.0,72.0,4115156.0,2.17305e-34,2.82497e-33,0.3837,中,0.1534,0.1534,True
指令+数学,848,494,58.25,129.0,79.0,186.0,222323.5,6.24443e-10,8.11776e-09,0.3795,中,0.1036,0.1035,True
创意+代码,248,138,55.65,74.5,-4.0,140.5,19406.5,0.000224587,0.00291963,0.3715,中,0.1682,0.1677,True
仅代码,15088,9197,60.96,203.0,189.0,218.0,73592175.0,3.22675e-215,4.19478e-214,0.3529,中,0.19,0.19,True
创意+指令,1280,753,58.83,77.5,44.5,116.0,531942.0,4.66141e-21,6.05984e-20,0.3491,中,0.1891,0.189,True
仅指令遵循,5098,3098,60.77,121.5,99.0,140.5,8446481.0,3.90213e-81,5.07277e-80,0.3458,中,0.1679,0.1678,True
仅创意写作,4931,3035,61.55,60.0,50.0,69.0,7907342.5,1.31334e-79,1.70734e-78,0.3447,中,0.223,0.2229,True
指令+代码,4412,2737,62.04,256.0,217.0,285.0,6447454.5,1.23219e-78,1.60185e-77,0.3371,中,0.1829,0.1829,True
全量,78970,49129,62.21,125.0,121.0,130.0,2060035117.0,0.0,0.0,0.3362,中,0.1809,0.1809,True
无类别,41737,26593,63.72,121.0,115.0,126.0,592558118.0,0.0,0.0,0.3155,中,0.2183,0.2183,True
